Final_Name,Name_sul07,z,z_src,r_z_sul07,CIV_blue_tvm,CIV_EW_tvm,CIVgood_tvm,CIV_blue_sul07,CIV_EW_sul07,F1450_spec (erg/s/cm2/A),S2N_1450A,Inst_final,log M_BH,+err(log M_BH),-err(log M_BH),MBH_source,logEddRatio,EddRatio_Source,SDSS_NAME,PLATE,MJD,FIBERID,IAU_sul07,Hbeta_FWHM_sul07,RFeII_sul07,_RA,_DE
MRK1513,,0.062,https://arxiv.org/pdf/1710.10703.pdf,,-9.68066706248958,78.5643792955013,1,,,1.49504086594274E-14,45.1719966971769,HSLA,7.4329003998152,0.055325637629993,0.063384413098389,Bentz & Katz 2015,-0.264619216485364,Spectra 1450A,,,,,,,,323.116,10.1385
MRK290,,0.0302,https://arxiv.org/pdf/1710.10703.pdf,,-9.68066706248958,123.86683048304,0,,,1.33093237737549E-14,49.3355957244216,HSLA,7.2773542981047,0.06090863082718,0.060855406684665,Bentz & Katz 2015,-0.795515094792151,Spectra 1450A,,,,,,,,233.968,57.9025
MRK352,,0.01486,NED,,197.485608074964,371.717077820312,1,,,2.4898203047986703E-15,2.10267159037725,HSLA,,,,,,,,,,,,,,14.9721,31.827
MRK817,,0.031328,NED,,-9.68066706248958,61.9628829807119,1,,,5.5186101720581805E-14,79.7381740936211,HSLA,7.5861615593629,0.06356107414147,0.071832073021485,Bentz & Katz 2015,-0.462580030099964,Spectra 1450A,,,,,,,,219.092,58.7943
3C390,3C 390.3,0.0555,Sul,M03,749.225546634994,283.904109951461,0,1285.0,132.20338983050846,3.96389570608438E-15,9.07064617829736,FOS,8.7106503754466,0.032513639744035,0.036187126958126,Bentz & Katz 2015,-3.19720349526644,Spectra 1450A,,,,,J18421+7946,12688,0.12,280.537458055556,79.7714244444444
Mrk205,MRK 0205,0.0711,Sul,M03,266.508764230596,88.9572665991363,1,73.0,52.07756232686981,1.55737336054881E-14,6.13854762042204,FOS,,,,,,,,,,,J12217+7518,3783,0.21,185.433195833333,75.3105527777778
MRK841,,0.036422,NED,,-9.68066706248958,119.158985678182,1,,,1.9607418334061202E-14,37.1728942559439,HSLA,,,,,,,,,,,,,,226.005,10.4378
MRK876,,0.129,NED,,404.496992539456,29.995281479734,1,,,2.97963267738081E-14,82.1517077546189,HSLA,8.339,0.164,0.271,Bentz & Katz 2015,-0.207723255397248,Spectra 1450A,,,,,,,,243.489,65.7195
J06357-7516,[HB89] 0637-752,0.651,Sul,T93,-770.523014172515,40.1191518716033,1,-534.0,58.67768595041321,3.0907610868966003E-15,8.25669342589387,FOS,,,,,,,,,,,J06357-7516,7922,0.4,98.94381,-75.2713166666667
J18219+6420,[HB89] 1821+643,0.2972,Sul,M03,-9.68066706248958,52.1290536831322,1,-457.0,105.50576184379001,3.11325593508513E-14,21.6548038263275,FOS,,,,,,,,,,,J18219+6420,6968,0.25,275.488485555556,64.3433961111111
NEWQZ003,,0.11674,DR16,,266.508764230596,579.075650401946,0,,,1.17629747479447E-16,0.309823344628847,HSLA,,,,,,,134617.54+622045.5,604.0,52079.0,90.0,,,,206.573,62.3459
QSO-003916-511701,[WPV85] 007,0.029,Sul,G99,1162.37705552831,20.6029716694391,1,78.0,99.99999999999999,5.6831299034295504E-15,48.4663285689324,HSLA,,,,,,,,,,,J00392-5117,1203,0.68,9.81595,-51.2837
J08535+4349,[HB89] 0850+440,0.5149,Sul,M03,1093.54751271396,42.2344551146823,1,1345.0,51.898734177215175,2.2502688109350704E-15,10.278124193718,FOS,,,,,,,085334.23+434902.3,8281.0,57042.0,160.0,J08535+4349,2724,0.23,133.392651388889,43.8172305555556
NGC1566,NGC 1566,0.0051,Sul,ESO,-701.286883341517,114.347873046582,0,-993.0,105.55555555555553,2.15438040391969E-15,2.15722678799721,FOS,,,,,,,,,,,J04200-5456,5967,0.05,65.0017458333333,-54.9378083333333
NEWQZ004,,0.118,DR16,,-978.366936004349,19.5084437838384,0,,,2.21559090766282E-15,3.68169302958123,HSLA,,,,,,,130534.49+181932.8,2603.0,54479.0,443.0,,,,196.394,18.3258
NEWQZ013,,0.1812,DR16,,-147.881870046715,188.291512171567,0,,,6.4771871635065E-16,1.06052111869071,HSLA,,,,,,,171448.50+332738.3,2973.0,54591.0,190.0,,,,258.702,33.4606
NEWQZ015,,0.1885,DR16,,59.3812117613829,91.2576434076797,0,,,1.63313252564039E-15,2.01806501943233,HSLA,,,,,,,125142.27+240435.2,2661.0,54505.0,197.0,,,,192.926,24.0765
NEWQZ027,,0.227580606937408,DR16,,-286.141157033345,34.8303205687489,0,,,9.75836478688498E-16,1.72605794139106,HSLA,,,,,,,093653.84+533126.8,7286.0,57096.0,113.0,,,,144.224,53.5241
NGC-4051,,0.002336,NED,,59.3812117613829,65.2397239273098,0,,,9.635043837591191E-15,19.8798719106425,HSLA,5.8907226866257,0.084460394929994,0.14466471069256,Bentz & Katz 2015,-1.75960723746926,Spectra 1450A,,,,,,,,180.79,44.5313
NGC-3516,NGC 3516,0.0088,Sul,K96,-78.7812685546023,153.396599379582,1,-68.0,212.49999999999997,1.17176795844084E-14,35.531209203496,HSLA,7.3986460802024,0.03576825226276,0.057669071721479,Bentz & Katz 2015,-2.04241314513086,Spectra 1450A,,,,,J11067+7234,6338,0.36,166.697891666667,72.5685277777778
NGC-7469,,0.016268,NED,,-147.881870046715,87.8261537682665,0,,,2.73636736502969E-14,123.682494252536,HSLA,6.9562496954585,0.048244766203076,0.04950025591957,Bentz & Katz 2015,-0.704863098799507,Spectra 1450A,,,,,,,,345.815,8.87372
NGC-863,,0.026385,NED,,-147.881870046715,324.071792516416,0,,,2.12889322270041E-15,19.1573732454788,HSLA,7.57,0.062,0.074,Bentz & Katz 2015,-1.9919622560123,Spectra 1450A,,,,,,,,33.6399,-0.766744
NGC-985,,0.04271,NED,,128.443090585211,54.9138944912876,1,,,3.66088729587141E-14,40.352121880587,HSLA,8.4,0.0,0.0,Giustini & Proga 2019,-1.30102999566398,Giustini & Proga 2019,,,,,,,,38.6578,-8.78806
PG1114+445,PG 1114+445,0.1433,Sul,M03,-355.280481193698,62.5494605636302,1,-351.0,82.14285714285711,2.9306693955291E-15,12.8279580096779,FOS,,,,,,,111706.39+441333.3,1365.0,53062.0,378.0,J11171+4413,5402,0.1,169.276635555556,44.2259125
PDS456,,0.185,https://arxiv.org/pdf/1710.10703.pdf,,5262.58486718126,45.7878553491449,1,,,4.8310595885600205E-15,14.1754994307525,HSLA,9.0,0.0,0.0,Giustini & Proga 2019,-0.0969100130080564,Giustini & Proga 2019,,,,,,,,262.082,-14.2656
PG0804+761,,0.1,NED,,128.443090585211,20.3047706304454,1,,,6.45959981453977E-14,68.7587846767776,HSLA,8.735,0.048,0.053,Bentz & Katz 2015,-0.506945191625327,Spectra 1450A,,,,,,,,122.744,76.0449
